STATE,LEA_NAME,SCHOOL,ISP,ISP_CATEGORY,PARTICIPATION,ENROLLMENT
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EL ORO WAY CHARTER FOR ENRICHED STUDIES,27.5%,25%-40%,Y,448
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EL SERENO CHILDREN'S CENTER,45.5%,40%-50%,Y,88
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EL SERENO ELEMENTARY,62.8%,60% and higher,Y,282
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EL SERENO MIDDLE,64.6%,60% and higher,Y,848
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ELIZABETH LEARNING CENTER,69.2%,60% and higher,Y,1397
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ELLEN OCHOA LEARNING CENTER,69.9%,60% and higher,Y,1215
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ELLINGTON (DUKE) HIGH (CONTINUATION),80.7%,60% and higher,Y,62
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ELYSIAN HEIGHTS ES ARTS MAGNET,33.3%,25%-40%,Y,372
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EMELITA STREET ELEMENTARY,44.7%,40%-50%,Y,302
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EMERSON COMMUNITY CHARTER,38.8%,25%-40%,Y,495
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ENADIA WAY TECHNOLOGY CHARTER,46.2%,40%-50%,Y,197
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ENCINO CHARTER ELEMENTARY,23.8%,Below 25%,Y,525
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ERNEST LAWRENCE MIDDLE,45.2%,40%-50%,Y,1087
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ERNEST P. WILLENBERG SPECIAL EDUCATION CENTER,29.3%,25%-40%,Y,150
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ERWIN ELEMENTARY,64.9%,60% and higher,Y,656
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ESHELMAN AVENUE ELEMENTARY,57.3%,50%-60%,Y,454
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ESPERANZA ELEMENTARY,76.5%,60% and higher,Y,626
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ESTRELLA ELEMENTARY,76.5%,60% and higher,Y,486
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,ETHEL BRADLEY EARLY ED CENTER,65.9%,60% and higher,Y,88
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EUCLID AVENUE ELEMENTARY,60.9%,60% and higher,Y,645
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EVERGREEN AVENUE ELEMENTARY,70.1%,60% and higher,Y,565
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EVERGREEN CONTINUATION,66.2%,60% and higher,Y,77
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,EVERGREEN EARLY EDUCATION CTR,46.8%,40%-50%,Y,79
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FAIR AVE CHILDREN'S CENTER,37.0%,25%-40%,Y,73
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FAIR AVENUE ELEMENTARY,64.0%,60% and higher,Y,608
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FAIRBURN AVENUE ELEMENTARY,12.9%,Below 25%,Y,443
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FAIRFAX SENIOR HIGH,52.0%,50%-60%,Y,1668
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FARMDALE ELEMENTARY,59.5%,50%-60%,Y,331
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FERNANGELES ELEMENTARY,69.1%,60% and higher,Y,527
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIFTEENTH STREET ELEMENTARY,68.4%,60% and higher,Y,415
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIFTY-FOURTH STREET ELEMENTARY,63.7%,60% and higher,Y,223
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIFTY-NINTH STREET ELEMENTARY,69.6%,60% and higher,Y,220
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIFTY-SECOND STREET ELEMENTARY,76.3%,60% and higher,Y,662
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIGUEROA STREET ELEMENTARY,74.2%,60% and higher,Y,399
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FIRST STREET ELEMENTARY,75.8%,60% and higher,Y,389
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FISHBURN AVENUE ELEMENTARY,65.1%,60% and higher,Y,450
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FLETCHER DRIVE ELEMENTARY,67.4%,60% and higher,Y,178
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FLORENCE AVENUE ELEMENTARY,72.7%,60% and higher,Y,553
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FLORENCE GRIFFITH JOYNER ELEMENTARY,85.2%,60% and higher,Y,452
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FLORENCE NIGHTINGALE MIDDLE,65.2%,60% and higher,Y,798
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FORD BOULEVARD ELEMENTARY,65.3%,60% and higher,Y,854
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FORTY-NINTH STREET ELEMENTARY,82.1%,60% and higher,Y,609
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FORTY-SECOND STREET ELEMENTARY,80.4%,60% and higher,Y,194
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FOSHAY LEARNING CENTER,65.7%,60% and higher,Y,1697
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FOURTH STREET EARLY EDUCATION CENTER,38.4%,25%-40%,Y,86
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FOURTH STREET ELEMENTARY,62.8%,60% and higher,Y,484
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRANCISCO BRAVO MEDICAL MAGNET HIGH,55.7%,50%-60%,Y,1511
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRANCISCO SEPULVEDA MIDDLE,69.4%,60% and higher,Y,1087
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRANK DEL OLMO ELEMENTARY,72.5%,60% and higher,Y,535
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRANKLIN AVENUE ELEMENTARY,17.3%,Below 25%,Y,405
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRIDA KAHLO HIGH,80.7%,60% and higher,Y,166
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FRIES AVENUE ELEMENTARY,67.7%,60% and higher,Y,372
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,FULLBRIGHT AVENUE ELEMENTARY,61.8%,60% and higher,Y,382
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARDEN GROVE ELEMENTARY,62.0%,60% and higher,Y,334
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARDENA EARLY EDUCATION CENTER,34.0%,25%-40%,Y,106
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARDENA ELEMENTARY,70.0%,60% and higher,Y,473
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARDENA SENIOR HIGH,60.6%,60% and higher,Y,1567
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARDNER STREET ELEMENTARY,47.4%,40%-50%,Y,422
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARVANZA ELEMENTARY,52.5%,50%-60%,Y,259
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GARZA (CARMEN LOMAS) PRIMARY CENTER,74.1%,60% and higher,Y,108
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GASPAR DE PORTOLA CHARTER MIDDLE,33.2%,25%-40%,Y,1442
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GATES ST CHILDREN'S CENTER,46.3%,40%-50%,Y,67
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GATES STREET ELEMENTARY,65.1%,60% and higher,Y,498
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GAULT STREET ELEMENTARY,55.1%,50%-60%,Y,296
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE DE LA TORRE JR. ELEMENTARY,65.6%,60% and higher,Y,669
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE ELLERY HALE CHARTER ACADEMY,25.3%,25%-40%,Y,1841
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE K. PORTER MIDDLE,43.0%,40%-50%,Y,989
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE S. PATTON CONTINUATION,67.8%,60% and higher,Y,59
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE WASHINGTON CARVER MIDDLE,80.4%,60% and higher,Y,729
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GEORGE WASHINGTON PREPARATORY HIGH,72.2%,60% and higher,Y,788
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"GERALD A. LAWSON ACADEMY OF THE ARTS, MATHEMATICS AND SCIENCE",80.3%,60% and higher,Y,487
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT,40.3%,40%-50%,Y,585
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GIL GARCETTI LEARNING ACADEMY,80.5%,60% and higher,Y,558
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLASSELL PARK EARLY EDUCATION CENTER,31.1%,25%-40%,Y,135
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"GLASSELL PARK ES SCIENCE, TECHNOLOGY, ENGINEERING, ARTS AND MATH",65.3%,60% and higher,Y,262
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLEDHILL CHILDREN'S CENTER,36.4%,25%-40%,Y,77
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLEDHILL STREET ELEMENTARY,47.9%,40%-50%,Y,349
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLEN ALTA ELEMENTARY,66.9%,60% and higher,Y,124
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLENFELIZ BOULEVARD ELEMENTARY,43.6%,40%-50%,Y,220
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLENFELIZ CHILDREN'S CENTER,32.2%,25%-40%,Y,59
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLENN HAMMOND CURTISS MIDDLE,63.8%,60% and higher,Y,395
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GLENWOOD ELEMENTARY,67.0%,60% and higher,Y,233
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRAHAM CHILDREN'S CENTER,64.4%,60% and higher,Y,45
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRAHAM ELEMENTARY,73.3%,60% and higher,Y,585
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRANADA ELEMENTARY,45.7%,40%-50%,Y,407
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRAND VIEW BOULEVARD ELEMENTARY,40.4%,40%-50%,Y,562
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRANT ELEMENTARY,71.1%,60% and higher,Y,429
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRANT ST EARLY EDUCATION CTR,46.8%,40%-50%,Y,47
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRAPE STREET ELEMENTARY,84.4%,60% and higher,Y,392
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRATTS EARLY EDUCATION CENTER,43.7%,40%-50%,Y,103
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRATTS LEARNING ACADEMY FOR YOUNG SCHOLARS (GLAYS),83.3%,60% and higher,Y,389
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRIDLEY STREET ELEMENTARY,56.9%,50%-60%,Y,517
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRIFFIN AVENUE ELEMENTARY,67.9%,60% and higher,Y,333
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GRIFFITH MIDDLE,65.4%,60% and higher,Y,1167
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GROVER CLEVELAND CHARTER HIGH,41.9%,40%-50%,Y,2742
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,GULF AVENUE ELEMENTARY,57.8%,50%-60%,Y,664
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HADDON AVE EARLY ED CTR/OSH,38.7%,25%-40%,Y,111
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HADDON AVENUE ELEMENTARY,60.3%,60% and higher,Y,688
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HALLDALE ELEMENTARY,55.0%,50%-60%,Y,456
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAMLIN CHARTER ACADEMY,35.9%,25%-40%,Y,343
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HANCOCK PARK ELEMENTARY,23.3%,Below 25%,Y,510
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARBOR CITY ELEMENTARY,63.4%,60% and higher,Y,426
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARDING STREET ELEMENTARY,42.5%,40%-50%,Y,384
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARMONY ELEMENTARY,77.6%,60% and higher,Y,495
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAROLD MCALISTER HIGH (OPPORTUNITY),68.2%,60% and higher,N,88
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARRIS NEWMARK CONTINUATION,75.6%,60% and higher,Y,119
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARRISON STREET ELEMENTARY,75.0%,60% and higher,Y,304
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARRY BRIDGES SPAN,57.7%,50%-60%,Y,1188
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HART STREET ELEMENTARY,68.0%,60% and higher,Y,722
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HARVARD ELEMENTARY,68.8%,60% and higher,Y,276
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HASKELL ELEMENTARY SCIENCE TECHNOLOGY ENGINEERING ARTS AND MATHE,44.8%,40%-50%,Y,549
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAWAIIAN AVE CHILDREN'S CENTER,65.4%,60% and higher,Y,78
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAWAIIAN AVENUE ELEMENTARY,72.3%,60% and higher,Y,545
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAWTHORNE ACADEMY,70.4%,60% and higher,Y,27
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAYNES CHARTER FOR ENRICHED STUDIES,21.6%,Below 25%,Y,393
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HAZELTINE AVENUE ELEMENTARY,62.2%,60% and higher,Y,687
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HELEN BERNSTEIN HIGH,61.4%,60% and higher,Y,1270
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HELIOTROPE AVENUE ELEMENTARY,64.3%,60% and higher,Y,502
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HELP GROUP - VILLAGE GLEN,22.1%,Below 25%,Y,136
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HENRY DAVID THOREAU CONTINUATION,45.2%,40%-50%,Y,84
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HENRY T. GAGE MIDDLE,67.6%,60% and higher,Y,1205
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HERRICK AVENUE ELEMENTARY,53.1%,50%-60%,Y,390
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HESBY OAKS LEADERSHIP CHARTER,12.3%,Below 25%,Y,503
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HIGHLAND PARK CONTINUATION,79.5%,60% and higher,Y,73
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"HILDA L. SOLIS LEARNING ACADEMY SCHOOL OF TECHNOLOGY, BUSINESS A",73.0%,60% and higher,Y,207
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HILLARY BROADOUS EARLY ED CTR,53.7%,50%-60%,Y,67
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HILLCREST DRIVE ELEMENTARY,79.4%,60% and higher,Y,554
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HILLERY T. BROADOUS ELEMENTARY,70.8%,60% and higher,Y,431
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HILLSIDE ELEMENTARY,72.7%,60% and higher,Y,117
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOBART BOULEVARD ELEMENTARY,71.6%,60% and higher,Y,433
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOBART CHILDREN'S CENTER,41.5%,40%-50%,Y,82
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOLLENBECK MIDDLE,68.9%,60% and higher,Y,1140
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOLLYWOOD PRIMARY CENTER,68.5%,60% and higher,Y,219
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOLLYWOOD SENIOR HIGH,60.3%,60% and higher,Y,1086
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOLMES AVE CHILDREN'S CENTER,68.8%,60% and higher,Y,48
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOLMES AVENUE ELEMENTARY,86.8%,60% and higher,Y,152
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOOPER AVE EARLY EDUCATION,59.8%,50%-60%,Y,107
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOOPER AVENUE ELEMENTARY,81.4%,60% and higher,Y,703
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOOPER AVENUE PRIMARY CENTER,78.7%,60% and higher,Y,202
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOOVER STREET ELEMENTARY,71.2%,60% and higher,Y,600
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HOPE STREET ELEMENTARY,67.5%,60% and higher,Y,406
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HORACE MANN UCLA COMMUNITY,76.6%,60% and higher,Y,530
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUBBARD STREET ELEMENTARY,52.3%,50%-60%,Y,560
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUBERT HOWE BANCROFT MIDDLE,70.4%,60% and higher,Y,443
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUMANITAS ACADEMY OF ART AND TECHNOLOGY AT ESTEBAN E. TORRES HIG,68.8%,60% and higher,Y,1669
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUMPHREYS AVENUE ELEMENTARY,70.1%,60% and higher,Y,411
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUNTINGTON DRIVE ELEMENTARY,68.2%,60% and higher,Y,321
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUNTINGTON PARK ELEMENTARY,64.7%,60% and higher,Y,340
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HUNTINGTON PARK SENIOR HIGH,64.0%,60% and higher,Y,1453
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,HYDE PARK CHILDREN'S CENTER,66.1%,60% and higher,Y,56
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,INDEPENDENCE CONTINUATION,61.8%,60% and higher,Y,157
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,INDEPENDENCE ELEMENTARY,63.5%,60% and higher,Y,457
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,IVANHOE ELEMENTARY,10.5%,Below 25%,Y,428
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JACK LONDON COMMUNITY DAY,55.6%,50%-60%,Y,36
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JACK LONDON CONTINUATION,66.4%,60% and higher,Y,119
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JAIME ESCALANTE ELEMENTARY,69.5%,60% and higher,Y,499
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JAMES A. GARFIELD SENIOR HIGH,65.5%,60% and higher,Y,2208
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JAMES J. MCBRIDE SPECIAL EDUCATION CENTER,23.3%,Below 25%,Y,30
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JAMES MADISON MIDDLE,67.2%,60% and higher,Y,1310
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JAMES MONROE HIGH,65.6%,60% and higher,Y,1955
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JANE ADDAMS CONTINUATION,57.1%,50%-60%,Y,184
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOAQUIN MILLER CAREER AND TRANSITION CENTER,31.8%,25%-40%,Y,148
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN A. SUTTER MIDDLE,62.2%,60% and higher,Y,858
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN ADAMS MIDDLE,72.7%,60% and higher,Y,733
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN B. MONLUX ELEMENTARY,54.4%,50%-60%,Y,665
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN BURROUGHS MIDDLE,52.3%,50%-60%,Y,1351
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN C. FREMONT SENIOR HIGH,72.8%,60% and higher,Y,2002
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN F. KENNEDY HIGH,39.8%,25%-40%,Y,2178
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN H. FRANCIS POLYTECHNIC,56.1%,50%-60%,Y,2162
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN H. LIECHTY MIDDLE,76.1%,60% and higher,Y,856
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN HOPE CONTINUATION,87.8%,60% and higher,Y,98
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN MARSHALL SENIOR HIGH,44.5%,40%-50%,Y,1891
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN MUIR MIDDLE,79.7%,60% and higher,Y,701
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN R. WOODEN HIGH,72.1%,60% and higher,Y,129
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHN W. MACK ELEMENTARY,73.8%,60% and higher,Y,282
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,"JOHNNIE COCHRAN, JR., MIDDLE",72.3%,60% and higher,Y,563
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOHNSON CDS,79.7%,60% and higher,Y,59
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOSEPH LE CONTE MIDDLE,67.0%,60% and higher,Y,687
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JOSEPH POMEROY WIDNEY CAREER PREPARATORY AND TRANSITION CENTER,34.4%,25%-40%,Y,285
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JUDITH F. BACA ARTS ACADEMY,72.1%,60% and higher,Y,556
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JULIE KORENSTEIN ELEMENTARY,61.3%,60% and higher,Y,354
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,JUSTICE STREET ACADEMY CHARTER,27.0%,25%-40%,Y,396
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KAYNE-ERAS CENTER,69.2%,60% and higher,Y,52
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KENTER CANYON ELEMENTARY CHARTER,8.5%,Below 25%,Y,459
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KENTWOOD ELEMENTARY,22.1%,Below 25%,Y,263
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KESTER AVENUE ELEMENTARY,28.5%,25%-40%,Y,852
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KING/DREW MEDICAL MAGNET HIGH,57.2%,50%-60%,Y,1302
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KINGSLEY ELEMENTARY,74.5%,60% and higher,Y,325
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KITTRIDGE STREET ELEMENTARY,66.1%,60% and higher,Y,765
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,KNOLLWOOD PREPARATORY ACADEMY,38.4%,25%-40%,Y,419
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LA SALLE AVENUE ELEMENTARY,77.5%,60% and higher,Y,342
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LAFAYETTE PARK PRIMARY CENTER,67.0%,60% and higher,Y,112
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LAKE BALBOA COLLEGE PREPARATORY MAGNET K-12,51.0%,50%-60%,Y,586
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LAKE STREET PRIMARY,63.1%,60% and higher,Y,179
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LANAI ROAD ELEMENTARY,6.3%,Below 25%,Y,522
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LANGDON AVENUE ELEMENTARY,78.0%,60% and higher,Y,563
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LANKERSHIM ELEMENTARY,69.3%,60% and higher,Y,342
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LASSEN ELEMENTARY,59.8%,50%-60%,Y,423
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LATONA AVENUE ELEMENTARY,59.7%,50%-60%,Y,176
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LAUREL CHILDREN'S CENTER,24.6%,Below 25%,Y,65
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LAUREL ELEMENTARY,59.2%,50%-60%,Y,235
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LEAPWOOD AVENUE ELEMENTARY,46.9%,40%-50%,Y,224
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LELAND STREET ELEMENTARY,56.4%,50%-60%,Y,440
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LEMAY ST CHILDREN'S CENTER,25.8%,25%-40%,Y,62
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LEMAY STREET ELEMENTARY,55.9%,50%-60%,Y,358
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LENICIA B. WEEMES ELEMENTARY,70.4%,60% and higher,Y,449
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LEO POLITI ELEMENTARY,67.6%,60% and higher,Y,623
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LEXINGTON AVENUE PRIMARY CENTER,54.7%,50%-60%,Y,117
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LIBERTY BOULEVARD ELEMENTARY,72.2%,60% and higher,Y,467
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LIGGETT STREET ELEMENTARY,62.3%,60% and higher,Y,578
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LILLIAN STREET ELEMENTARY,76.3%,60% and higher,Y,354
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LIMERICK AVENUE ELEMENTARY,62.0%,60% and higher,Y,692
California,LOS ANGELES UNIFIED SCHOOL DISTRICT,LINDA ESPERANZA MARQUEZ HIGH A HUNTINGTON PARK INSTITUTE OF APPL,64.0%,60% and higher,Y,1883
